s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2824160E-004,-2.2257342E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2846417E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1758868E+000
 1.0306330E+000, 6.1205890E-001, 0.0000000E+000,-1.5125423E-002,-2.3916987E-004,-2.8450959E-004,-1.3670562E-004, 1.9392436E-001, 0.0000000E+000, 4.9246257E-001, 7.9019745E-001, 0.0000000E+000, 4.3992000E-005, 0.0000000E+000,-2.3470965E-001
 2.0612659E+000, 2.6279909E+000, 0.0000000E+000,-2.0703700E-001,-7.5296667E-004,-4.7940591E-003,-3.5810729E-004, 9.0381968E-001, 0.0000000E+000, 2.8492729E+000, 3.3188685E+000, 0.0000000E+000, 1.1731200E-004, 0.0000000E+000, 5.1757741E+000
 3.0918989E+000, 4.4620786E+000, 0.0000000E+000,-6.6421316E-001,-1.1336693E-003,-1.6286925E-002,-5.8947956E-004, 1.5068921E+000, 0.0000000E+000, 5.0970433E+000, 5.2867474E+000, 0.0000000E+000, 1.8916560E-004, 0.0000000E+000, 1.4850509E+001
 4.1225319E+000, 5.1758015E+000, 0.0000000E+000,-1.4753322E+000,-1.3388054E-003,-2.3495031E-002,-8.2177724E-004, 1.5118791E+000, 0.0000000E+000, 5.2202452E+000, 5.1866928E+000, 0.0000000E+000, 2.6028600E-004, 0.0000000E+000, 2.4801373E+001
 5.0696125E+000, 6.2522139E+000, 0.0000000E+000,-1.5016296E+000,-1.6088663E-003,-2.4824080E-002,-1.0468448E-003, 1.8637395E+000, 0.0000000E+000, 6.1537823E+000, 6.5868439E+000, 0.0000000E+000, 3.3028488E-004, 0.0000000E+000, 3.5597862E+001
 6.0396781E+000, 7.7418561E+000, 0.0000000E+000,-1.3434157E+000,-2.0268589E-003,-2.4739205E-002,-1.2505396E-003, 2.5789314E+000, 0.0000000E+000, 8.7996752E+000, 8.9493552E+000, 0.0000000E+000, 3.9583007E-004, 0.0000000E+000, 5.1365956E+001
 7.0907507E+000, 9.2471174E+000, 0.0000000E+000,-1.8937596E+000,-2.4345653E-003,-3.8307907E-002,-1.4627273E-003, 2.9691120E+000, 0.0000000E+000, 1.0162995E+001, 1.0280265E+001, 0.0000000E+000, 4.6646238E-004, 0.0000000E+000, 7.1099871E+001
 8.0706434E+000, 1.0590840E+001, 0.0000000E+000,-2.5818629E+000,-2.7838092E-003,-1.4733789E-001,-1.6788913E-003, 3.2125467E+000, 0.0000000E+000, 1.1048099E+001, 1.1069724E+001, 0.0000000E+000, 5.3748217E-004, 0.0000000E+000, 9.1120133E+001
 9.0121727E+000, 1.1773750E+001, 0.0000000E+000,-3.0406729E+000,-3.1174781E-003,-2.4359741E-001,-1.8932356E-003, 3.4542953E+000, 0.0000000E+000, 1.1789420E+001, 1.1938765E+001, 0.0000000E+000, 6.0562320E-004, 0.0000000E+000, 1.1167582E+002
 1.0047855E+001, 1.3208780E+001, 0.0000000E+000,-3.3111267E+000,-3.4865344E-003,-3.3462553E-001,-2.1101572E-003, 3.8999855E+000, 0.0000000E+000, 1.3344670E+001, 1.3457417E+001, 0.0000000E+000, 6.7521055E-004, 0.0000000E+000, 1.3726628E+002
 1.1083538E+001, 1.4679562E+001, 0.0000000E+000,-3.6491175E+000,-3.8702529E-003,-4.3249932E-001,-2.3327230E-003, 4.3236620E+000, 0.0000000E+000, 1.4799316E+001, 1.4915404E+001, 0.0000000E+000, 7.4819727E-004, 0.0000000E+000, 1.6564595E+002
 1.2025067E+001, 1.6102496E+001, 0.0000000E+000,-4.0291266E+000,-4.2440750E-003,-5.2761144E-001,-2.5409071E-003, 4.7125004E+000, 0.0000000E+000, 1.6139585E+001, 1.6251473E+001, 0.0000000E+000, 8.1788460E-004, 0.0000000E+000, 1.9378048E+002
